ra_deg,dec_deg,major_arcsec,minor_arcsec,pa_deg
114.75994889548704,65.87855429169647,24.98273528475796,28.398791046747796,91.96865844726562
114.70925752826062,65.86285508153183,35.1554573937308,149.68504695733898,89.6669100522995
114.31544749730611,65.8206390809998,37.653908687103474,57.82635637986654,93.63528442382812
113.70175419393445,65.82165268454202,42.50360591750325,91.8386863045274,27.97208023071289
113.76337180714637,65.81781586424917,63.173162081769,96.88370748374582,162.74414825439453
113.93086034269314,65.79794701948362,34.03923498512642,47.736779414507374,11.038223266601562
113.84911717488733,65.80312546088722,69.39597488494896,147.80994010043796,11.513282775878906
113.97776963832847,65.78691421328305,25.32042564632362,29.44633364411981,146.86033630371094
114.35858740106934,65.7876962680493,49.11636852870398,56.50690978421523,5.37933349609375
114.87692798150823,65.83562775715316,57.567178211973335,365.32151152632724,89.35738116502762
113.87928400981515,65.78771309114859,31.990580379274565,56.72226089416306,144.04088592529297
114.0598277522554,65.78964626104161,48.172887060559226,192.09782874544703,168.9939422607422
114.17265070636859,65.78001660560707,55.28680172246205,87.41477414912889,66.75331497192383
113.58234173076355,65.77265182948302,24.38352071642396,35.791081340997664,131.11500549316406
114.37548954469587,65.76801599338557,31.748120122552535,41.710892733036395,92.61140441894531
113.68731402406385,65.78381020395796,116.3072614205927,160.08176046577537,67.0622329711914
114.65231024990756,65.73671030748696,29.536135434623095,30.47356679275815,92.54234313964844
114.60161688430158,65.70089666268402,38.75302980745221,52.64207585889914,176.1841812133789
114.74991316479246,65.671392077125,66.15775459174029,332.16419260868577,149.77525329589844
113.63217248410928,65.59435354343009,30.548176551033432,37.612988428544845,14.258941650390625
113.63443195305295,65.58207341017425,50.39640930064776,62.84699782827036,10.383331298828125
113.66263970449434,65.56771024218074,26.876513177877424,68.88721632771512,142.04251098632812
114.7673174834893,65.5248137819188,27.437533088915043,39.97185231619576,53.13121032714844
113.75889062301516,65.52472511163548,68.83474135085929,186.3479506766125,166.46076202392578
114.78642870899074,65.51270060073087,30.822731763976496,72.96786675605671,57.993675231933594
114.77035742133168,65.4977628778399,33.87555776558926,35.54911127288613,152.52145385742188
114.66201399914951,65.41227927222613,56.48834365217413,96.34958118908169,176.072021484375
114.77022890471542,65.40522569230467,51.46423464387195,59.81614829813669,147.15531158447266
114.74132113399645,65.38556785796362,56.571050105591645,95.1112159857734,6.298652648925781
114.68352914358383,65.37952543028716,37.41032118731217,58.73079060585541,3.7384490966796875
114.62573660649761,65.37660170307272,31.13680533419915,69.51204849615638,175.41960906982422
113.71866047203193,65.344007986675,35.155465023125515,149.68506221612842,89.6669879257679
113.66963057101007,65.32796821928805,24.98273528475796,28.398791046747796,91.96864318847656
113.55347891307301,65.3693930175143,57.73512407785403,372.8499540913281,89.2466208934784
